expnum seeing efftime survey_speed comment
1301167 1.2840015888214111 3.346358299255371 0.01115452777594328 "Automatically flagged"
1301168 1.2372492551803589 4.836255073547363 0.016120851039886475 "Automatically flagged"
1301169 1.358695149421692 9.240339279174805 0.030801130458712578 "Automatically flagged"
1301172 1.227912187576294 54.93242263793945 0.18310807645320892 "Automatically flagged"
1301173 1.3651636838912964 52.10707473754883 0.17369024455547333 "Automatically flagged"
1301174 1.1738171577453613 70.61200714111328 0.2353733628988266 "Automatically flagged"
1301177 1.0938457250595093 99.88072967529297 0.33293578028678894 "Automatically flagged"
1301178 1.1154276132583618 97.13184356689453 0.3237728178501129 "Automatically flagged"
1301438 2.49895977973938 54.8537712097168 0.18284590542316437 "Automatically flagged"
1301446 1.5366032123565674 79.83939361572266 0.26613131165504456 "Automatically flagged"
1301448 1.8104666471481323 90.34657287597656 0.1806931495666504 "Automatically flagged"
1301451 1.642975091934204 0.0 0.0 "Automatically flagged"
1302366 1.3873728513717651 6.971251010894775 0.044897861778736115 "Automatically flagged"
1302368 1.5982156991958618 10.81378173828125 0.02162756398320198 "Automatically flagged"
1302369 1.7414287328720093 1.5911996364593506 0.00318239931948483 "Automatically flagged"
1302372 1.606801986694336 39.83934783935547 0.07967869937419891 "Automatically flagged"
1302373 1.4242511987686157 26.018037796020508 0.05203607678413391 "Automatically flagged"
1302374 1.5265069007873535 6.885918140411377 0.013771836645901203 "Automatically flagged"
1302375 1.4106439352035522 13.86709213256836 0.02773418463766575 "Automatically flagged"
1302376 1.3574538230895996 46.26909255981445 0.09253818541765213 "Automatically flagged"
1302818 1.3043910264968872 24.01573371887207 0.04803146794438362 "Automatically flagged"
1302819 1.4426989555358887 0.15007436275482178 0.0009207626571878791 "Automatically flagged"
1302820 1.3417974710464478 0.002855355152860284 2.6748184609459713e-05 "Automatically flagged"
1302962 1.2201710939407349 2.7401041984558105 0.005480208434164524 "Automatically flagged"
1302963 1.2081549167633057 0.7841682434082031 0.0015683365054428577 "Automatically flagged"
1302964 1.1820207834243774 0.001811278983950615 2.7844584110425785e-05 "Automatically flagged"
1302965 1.2044264078140259 1.9843566417694092 0.006614522077143192 "Automatically flagged"
1302966 1.1633573770523071 5.552183151245117 0.018507277593016624 "Automatically flagged"
1302967 1.1842275857925415 4.894558906555176 0.016315195709466934 "Automatically flagged"
1302968 1.1762512922286987 6.5134992599487305 0.021711664274334908 "Automatically flagged"
1302969 1.210295557975769 6.159255504608154 0.020530851557850838 "Automatically flagged"
1302970 1.2179796695709229 4.3037261962890625 0.014345753937959671 "Automatically flagged"
1302971 1.1704334020614624 9.204936981201172 0.03068312257528305 "Automatically flagged"
1302972 1.1540385484695435 15.772451400756836 0.05257483944296837 "Automatically flagged"
1302973 1.0889149904251099 37.47178649902344 0.12490595132112503 "Automatically flagged"
1302974 1.1474186182022095 26.752473831176758 0.08917491137981415 "Automatically flagged"
1302975 1.0548863410949707 10.944930076599121 0.036483101546764374 "Automatically flagged"
1302976 1.2128874063491821 0.20555396378040314 0.0006851798971183598 "Automatically flagged"
1302977 1.20417058467865 2.6689765453338623 0.00889658834785223 "Automatically flagged"
1302978 1.4713162183761597 3.3137991428375244 0.011045997031033039 "Automatically flagged"
1302979 1.8803188800811768 3.300048589706421 0.011000161990523338 "Automatically flagged"
1302980 1.4682772159576416 5.1026763916015625 0.01700892113149166 "Automatically flagged"
1302981 1.3735206127166748 10.344756126403809 0.03448252007365227 "Automatically flagged"
1302982 1.5176914930343628 5.800477027893066 0.01933492347598076 "Automatically flagged"
1302983 1.631408452987671 4.799954414367676 0.015999848023056984 "Automatically flagged"
1302984 1.4771521091461182 3.5590412616729736 0.011863471008837223 "Automatically flagged"
1302985 1.6501107215881348 3.219625473022461 0.010732084512710571 "Automatically flagged"
1302986 1.658066749572754 4.1032586097717285 0.01367752905935049 "Automatically flagged"
1302987 1.437230110168457 11.747339248657227 0.039157796651124954 "Automatically flagged"
1302988 1.205647349357605 9.77510929107666 0.03258369863033295 "Automatically flagged"
1302989 1.2349528074264526 4.0790534019470215 0.013596844859421253 "Automatically flagged"
1302990 1.320116639137268 3.0992519855499268 0.01033084001392126 "Automatically flagged"
1302991 1.3499360084533691 3.7091591358184814 0.012363864108920097 "Automatically flagged"
